Album titel,Brødtekst,SKU,Pris,Udgivet,Selskab,Attribute,Value,Nid,Lager,Oprettelsesdato
Frodegruppen40 - Angst i det postmoderne samfund," <p>”Hej. Jeg er en frisk og farlig fedladen forstadspenislæge, der på det seneste har mistet dele af min elskede. Derfor ønsker jeg nu at møde dig? Om mig selv kan jeg sige, at jeg både rummer tragedie og tragedie og små glimt af lys. Men ellers hygger jeg mig med nedslidte negle og urolige øjenlåg.</p>
<p>Jeg søger dejlig dame til lejlighedsvis hor i hybenbuske. Jeg holder af urologiske undersøgelser, hentehårs boogie woogie og lange gåture på stranden med lange fangarme, hvor jeg brummer; ”Giv plads for karavane manden, benløse fugle og dig”. Skal vi slå pjalterne sammen? Du er måske Molly? Skynd dig at skrive til billetmærke Frode. Du kommer, jeg stønner.</p>
<p>Hvis ikke du er Molly er du Ursula. Kære, kære ukendte Ursula. Skulle du i dit liv mangle glæde, så drop Egon Kvæde, og bestil et eksemplar af Frodegruppen40. Vær så god og lyt og slå røven i sæde. </p>
<p>Hvis du holder af frygtelige tidevandsbølger, spansktalende fyre, fugle der er brudt sammen, formbagt franskbrød og pragtfuld poesi, samt hæsblæsende lyd. Hvis du så - Mig. Jeg bor på Angstvænget 8, i det postmoderne byggeri, der er symbol på døden og Frodegruppen40.”</p>
<p>Frodegruppen40 præsenterer deres hidtil mest angstfulde udspil, ”Angst i det postmoderne samfund”. Det er så arvemassen triller ud. Helvedes ubehageligt. Maximalt påtrængende. Og eftertænksomt på den indmadsagtige måde. Alvorlig til døden. Opbyggelig til det hviner. Kort sagt. Katamaran kærlighed og ganespalte spekulationer. No more hjemis Gerner. Føler du livets tombola er tom, og er du ved at anlægge dig vom - så køb vores nye plade. Den fåes med og uden vaseline, glemte børn og greyhound kusser.</p>
 ",Mono008CD,"75,00 kr.",1,Elektrolyt,Format:select:1,CD:1,3260,5.00,2014-08-08
Frodegruppen40 - Du Ligner Noget Fra En Pejs," <p>Efter 7 år i en fugtig sarkofag er Frodegruppen40 genopstået fra de døde. Iført sit stiveste puds stod først Jens Blendstrup op af sin grav. På 5-års dagen genopstået med en smag af kakler og støv. Vagt til live af en ondskabsfuld, lille fugl, der pikkede på vore bryst og maver, har vi rejst os fra en fedevaregrosserers sidste hvile. Frodegruppen40 har den ære at meddele at nu kommer der en plade. ”Vel er der gået 7 år siden den sidste, men ting skal jo ha' lov at ligge lidt på egetræsfade, der ligner kister, før de får smag”, som en unavngiven Frode siger. Pladen hedder: ”Du ligner noget for en pejs”. Frodegruppen40 består af mennesker der ligner noget fra en pejs. Der er noget påskeø's figur over dens mandlige medlemmer… noget mejslet og dog stålsat over den smukke enlige kvinde vi har i vort band. Det holdt hårdt. Man sover ikke ustraffet branderter ud i fedevaregrosserers grave. Med stive ben, prostata, zombiesitren, henrivende lammelser, og meget langt til egentlig dialog er Frodegruppen40 ikke desto mindre tilbage. Dette skal naturligvis fejres med lidt menneskelighed. Det er med fornøjelse vi kan meddele at vores Plade nummer 2 kommer både på vinyl og cd og vil blive ført i velassorterede skridtbinds-forretninger overalt i verden og i særdeleshed i Mirakelpriser.   Gruppen består på albummet af: Jens Blendstrup (oplæsning & tekster), Per Götz (elektronik & guitar), Anders Koch (pedal steel guitar & guitar), Niels Tue Blendstrup (klaver & keyboard), Claus Schrøder Nielsen (bas & trommer) og med bidrag fra Niels Henrik Svarre Nielsen, Kasper Schulz (trommer) & Trine Andersen (sang).</p>
 ",MONO004CD,"75,00 kr.",1,Elektrolyt,Format:select:1,CD:1,3262,5.00,2014-08-08
Frodegruppen40 - Du Ligner Noget Fra En Pejs," <p>Efter 7 år i en fugtig sarkofag er Frodegruppen40 genopstået fra de døde. Iført sit stiveste puds stod først Jens Blendstrup op af sin grav. På 5-års dagen genopstået med en smag af kakler og støv. Vagt til live af en ondskabsfuld, lille fugl, der pikkede på vore bryst og maver, har vi rejst os fra en fedevaregrosserers sidste hvile. Frodegruppen40 har den ære at meddele at nu kommer der en plade. ”Vel er der gået 7 år siden den sidste, men ting skal jo ha' lov at ligge lidt på egetræsfade, der ligner kister, før de får smag”, som en unavngiven Frode siger. Pladen hedder: ”Du ligner noget for en pejs”. Frodegruppen40 består af mennesker der ligner noget fra en pejs. Der er noget påskeø's figur over dens mandlige medlemmer… noget mejslet og dog stålsat over den smukke enlige kvinde vi har i vort band. Det holdt hårdt. Man sover ikke ustraffet branderter ud i fedevaregrosserers grave. Med stive ben, prostata, zombiesitren, henrivende lammelser, og meget langt til egentlig dialog er Frodegruppen40 ikke desto mindre tilbage. Dette skal naturligvis fejres med lidt menneskelighed. Det er med fornøjelse vi kan meddele at vores Plade nummer 2 kommer både på vinyl og cd og vil blive ført i velassorterede skridtbinds-forretninger overalt i verden og i særdeleshed i Mirakelpriser.   Gruppen består på albummet af: Jens Blendstrup (oplæsning & tekster), Per Götz (elektronik & guitar), Anders Koch (pedal steel guitar & guitar), Niels Tue Blendstrup (klaver & keyboard), Claus Schrøder Nielsen (bas & trommer) og med bidrag fra Niels Henrik Svarre Nielsen, Kasper Schulz (trommer) & Trine Andersen (sang).</p>
 ",MONO004LP,"75,00 kr.",1,Elektrolyt,Format:select:1,"12"" LP:1",3261,20.00,2014-08-08
Frodegruppen40 - Piksvingeri & Negerlege," <p>Digteren Jens Blendstrup leverer tekster og stemme til denne samling skramlende, støjende og smukke numre om det moderne liv på landet.</p>
<p>""Piksvingeri og negerlege"" er debutudgivelsen fra Frodegruppen40, der senere har skabt furore ved deres optræden under bl.a. Dan Turéll's mindekoncert, og i DR2s ""Den 11. time"". For fans af grotesk musik og digt.</p>
 ",MONO000LP/DVP039,"110,00 kr.",1,Elektrolyt,Format:select:1,"2 x 12"" LP:1",3259,-2.00,2014-08-08
Frodegruppen40 - Piksvingeri & Negerlege," <p>Digteren Jens Blendstrup leverer tekster og stemme til denne samling skramlende, støjende og smukke numre om det moderne liv på landet.</p>
<p>""Piksvingeri og negerlege"" er debutudgivelsen fra Frodegruppen40, der senere har skabt furore ved deres optræden under bl.a. Dan Turéll's mindekoncert, og i DR2s ""Den 11. time"". For fans af grotesk musik og digt.</p>
 ",MONO000,"75,00 kr.",1,Elektrolyt,Format:select:1,CD:1,3258,5.00,2014-08-08
Ganga - Forget Gravity," <p>Forget Gravity er Ganga's fjerde album og fortsætter stilen chillout stilen fra de forrige udgivelser. Det der især kendetegner Ganga's stil er dog især det organiske islæt der præger udgivelserne. Christian Rønn, manden bag Ganga, har gentagne gange rejst til Indien og Indonesion og blandt udforsket sitarens potentiale på disse rejser. Forget Gravity lyder da også af mere end bare traditionel Chillout når den blander Mellem-østlige inspirationer med dens vestlige ophav.</p>
 ",FMLP001,"75,00 kr.",1,,Format:select:1,"12"" LP:1",3263,35.00,2014-08-08
Gaslamp Killer - Helio X GLK," <p>Gaslamp Killer genskaber Heliocentrics lyd via scratch, editing og anden manipulation. Resultatet er mindst lige så fedt som originalen.</p>
 ",NA5117-12,"70,00 kr.",1,Now Again,Format:select:1,"12"" LP:1",3264,0.00,2014-08-08
Genespleizer - Skrotwerk," <p>
Genespleizer er en elektronisk duo fra Odense, som har været aktiv i henved femten år, men først nu udgiver deres første plade, den 30 minutter lange ep/mini-lp Skrotwerk.</p>
<p>I begyndelsen var Genespleizer en central spiller på den scene for acid/gabber/hardcore-techno, som trivedes i Odense i midthalvfemserne. Herfra udviklede de en mere personlig stil, præget af analoge hardware-maskiner og sammenklippede stemmer, samplet fra både film, reklamer og nyhedsudsendelser.</p>
<p>På Skrotwerk præsenteres en fuldt udviklet lyd, der til dels trækker på den danske tradition for dyster ”doom acid” (Zekt, Choose, Genetic Systimmes), til dels på rå og skramlet electro, og til dels på nyere former for hårdtslående elektronisk musik, som f.eks. breakcore og industriel dubstep. Alt sammen resulterer det i en musik, som helt er Genespleizers egen.</p>
<p>Både Skrotwerk og SKROT – The New Machine Sound of Odense er udgivet af Hamarplazt, som også har udgivet to plader med Genespleizers ene halvdel, Giedo Primo: LP’en Infinity Machines of the Second Moon og ep’en Empty Circles. Genespleizers anden halvdel, Bashcorpo, medvirker på SKROT-opsamlingen med nummeret ”Friend of Death”.</p>
 ",Hmrplzt003,"50,00 kr.",1,Hamarplazt,Format:select:1,"12"" LP:1",3265,13.00,2014-08-08
Geniuser - Mud Black," <p>Former frontman of 4ad legends Wolfgang Press; Mick Allen and Giuseppe de Bellis- known for his collaborations with The Orb, teams up on this album with a strong line of songs. The remarkable grooves that made Wolfgang Press pioneers are present with added cosmic futuristica. Mick Allens outstanding voice is significant and ever present. This album not only reminds us of WP, but also breaks new ground,as Giuseppe de Bellis remarkable production skills catapults the understated funk.</p>
 ",PHI004CD,"70,00 kr.",1,Phisteria,Format:select:1,CD:1,3583,8.00,2014-08-08
Geniuser - Press/Delete," <p>Geniuser vender nu tilbage med fem imponerende numre, fire år efter udgivelsen af debutalbummet 'Mudblack' - og numrene viser, at det har været hele ventetiden værd. Mick Allens stemme er mere bjergtagende end nogensinde før, Debellis produktioner endnu mere sprøde end sidst, og tilsammen har de præsteret en håndfuld numre, som ikke blot vil tilfredsstille fans, men også erobre bandet nye tilhængere.</p>
 ",PHI018,"60,00 kr.",1,Phisteria,Format:select:1,"10"" EP:1",3266,,2014-08-08
Get Your Gun - The Worrying Kind," <p>Den 11.  april 2014 udkommer Get Your Guns debutalbum ”The Worrying Kind”. Trioen blev dannet i 2008 af brødrene Andreas og Simon Westmark samt Søren Nørgaard. Efter udgivelserne af 7'' singlen (Death Rattle/Ghost of Scandinavia 2011, Empty Tape),”EP” i 2012 (Empty Tape) og bidragelsen til 1. udgave af Reverb Conspiracy's compilation, har Get Your Gun brugt største delen af 2013 på at skrive, indspille og færdiggøre deres debutalbum, som er blevet indspillet i Aarhus Lydstudie.Første singlen ”Black Book” ser dagens lys i starten af 2014.</p>
<p>Med de 7 nyindspillede sange på den kommende plade ”The Worrying Kind” udvider Get Your Gun sit univers med både de tungeste sange og de mest stilfærdige sange de har skrevet til dato. De 7 sange på debuten er på hver deres måde en reaktion på en verden, hvor individualitet er målet og prisen er ensomhed. Det er lyden af et individ, der balancerer på en knivsæg mellem opgivelse og viljestyrke. </p>
<p>Get Your Guns lyd er ikke en forceret stiløvelse, men noget der opstod fra det øjeblik bandet blev dannet. Musikuniverset er som bandets tre mørkemænd, født ud af et vindblæst udkants område med brede vidder og smalle udsyn. En blanding mellem stoner-rockens tyngde og aggressivitet, den nordiske melankoli og country- og folkemusikkens mørkeste fortællinger. Resultatet er en konstant dualitet mellem autoritet og skrøbelighed, hvor enkelthedens kompleksitet er i højsæde og der er skåret ind til benet til der hvor det gør ondt. </p>
<p>Get Your Gun spiller i 2014 på Roskilde Festival og bandet har turneret i Danmark, Sverige, Norge, Belgien, Estland, Rusland og spillet på festivaler som Tallinn Music Week, BlueSPOT Festival, Rencontres Trans Musicales og Reeperbahn Festival.  DR P6 Beat udråbte i slutningen af 2011 Get Your Gun til et af  Danmarks mest interessante nye bands og singlerne ”Ghost of Scandinavia” samt ”Staying for a While” har begge fået massiv airplay på kanalen.</p>
 ",EMPTY007,"75,00 kr.",1,Empty Tape,Format:select:1,CD:1,3269,8.00,2014-08-08
Get Your Gun - The Worrying Kind," <p>Den 11.  april 2014 udkommer Get Your Guns debutalbum ”The Worrying Kind”. Trioen blev dannet i 2008 af brødrene Andreas og Simon Westmark samt Søren Nørgaard. Efter udgivelserne af 7'' singlen (Death Rattle/Ghost of Scandinavia 2011, Empty Tape),”EP” i 2012 (Empty Tape) og bidragelsen til 1. udgave af Reverb Conspiracy's compilation, har Get Your Gun brugt største delen af 2013 på at skrive, indspille og færdiggøre deres debutalbum, som er blevet indspillet i Aarhus Lydstudie.Første singlen ”Black Book” ser dagens lys i starten af 2014.</p>
<p>Med de 7 nyindspillede sange på den kommende plade ”The Worrying Kind” udvider Get Your Gun sit univers med både de tungeste sange og de mest stilfærdige sange de har skrevet til dato. De 7 sange på debuten er på hver deres måde en reaktion på en verden, hvor individualitet er målet og prisen er ensomhed. Det er lyden af et individ, der balancerer på en knivsæg mellem opgivelse og viljestyrke. </p>
<p>Get Your Guns lyd er ikke en forceret stiløvelse, men noget der opstod fra det øjeblik bandet blev dannet. Musikuniverset er som bandets tre mørkemænd, født ud af et vindblæst udkants område med brede vidder og smalle udsyn. En blanding mellem stoner-rockens tyngde og aggressivitet, den nordiske melankoli og country- og folkemusikkens mørkeste fortællinger. Resultatet er en konstant dualitet mellem autoritet og skrøbelighed, hvor enkelthedens kompleksitet er i højsæde og der er skåret ind til benet til der hvor det gør ondt. </p>
<p>Get Your Gun spiller i 2014 på Roskilde Festival og bandet har turneret i Danmark, Sverige, Norge, Belgien, Estland, Rusland og spillet på festivaler som Tallinn Music Week, BlueSPOT Festival, Rencontres Trans Musicales og Reeperbahn Festival.  DR P6 Beat udråbte i slutningen af 2011 Get Your Gun til et af  Danmarks mest interessante nye bands og singlerne ”Ghost of Scandinavia” samt ”Staying for a While” har begge fået massiv airplay på kanalen.</p>
 ",EMPTY006,"90,00 kr.",1,Empty Tape,Format:select:1,"12"" LP:1",3267,3.00,2014-08-08
Get Your Gun - Death Ratlle/Ghost Of Scandinavia,,NA58,"25,00 kr.",1,Empty Tape,Format:select:1,"7"":1",3268,32.00,2014-08-08
Ghost Rocket  - Drug Freedom ," <p>Ghost Rocket made a name for themselves in the Copenhagen underground rock scene doing gigs on their own and supporting bands like Electric Prunes and Baby Woodrose. Main man behind the band was Morten Aron who paid his dues in On Trial between 1986 and 1999 and was part of the legendary Spids Nøgenhat album ""En Mærkelig Kop Te"" in 2001 along with Lorenzo Woodrose. He also did 3 solo albums as Aron. Ghost Rocket was inspired by bands like 13th Floor Elevators, Love and obscure rock'n'roll and psych from the past 50 years and on this debut 7"" just about everything was fuzzed out to the max! The theme song ""Drug Freedom"" pretty much speaks for itself while the flipside ""1 Million Times"" is a bitter love song. Unfortunately the band broke up before releasing anything else than this classic single.</p>
 ",FRO038,"28,75 kr.",1,Bad Afro,Format:select:1,"7"":1",3270,0.00,2014-08-08
Ghostbrother Project - Back Into Your Heart ," <p>Siden de danske komponistforeninger DJBFA og DPA, med Poul Krebs som primus motor startede songwriter retreatet The House Of Songs i Austin, Texas, er der opstået flere forskellige interessante konstellationer danske kunstnere og amerikanske ditto imellem.</p>
<p>Således udgav Jens Lysdal det anmelderroste ”Easy Heart” album sidste år, indspillet i Austin, Texas, og her i år udkom Lars Attermanns album, „Shanghaied into the lonely sea“, som også er indspillet i Austin med de lokale ikoner brødrene Will & Charlie Sexton som producere. (Charlie Sexton er bl.a. fast guitarist hos Bob Dylan).</p>
<p>Men hvor Jens Lysdal og Lars Attermann har søgt samarbejdet med de etablerede og erfarne musikere, er Flemming Borby gået en anden vej, og har fundet unge kræfter i det unge Austin miljø at samarbejde med. Ghostbrother Project er således et direkte samarbejde med den 32 årige sangskriver Nicholas Ginbey og 50 årige Flemming Borby. Sammen har de i Austin skrevet og indspillet EP'en ”Back Into Your Heart”.</p>
<p>Indspilningerne foregik i SuperPop Records Studiet som indehaves af Seth Gibbs, der er involveret i en del alternative projekter i Austin bl.a. I Love You Collective, Bobby Jealousy og Giant Dog, og musikerne på EP'en er hentet fra flere af disse projekter.</p>
<p>SuperPop Records studiet ligger i den nordlige del af Austin, i et fattigt og faldefærdigt kvarter med hovedsaligt sorte og mexicanske indbyggere. Resultatet er da også bleve langt mindre poleret end de 2 andre tidl. nævnte danskeres værker, men Ep'en har omstændighederne taget i betragtning fået en meget lys karakter og et stærkt personligt udtryk og særegen”vibe”.</p>
<p>Americana og pop møder R:E:M?<br />
Mercury Rev møder Beechwood Sparks.?<br />
Døm selv. </p>
 ",NA190,"55,00 kr.",1,Divine Records,Format:select:1,CD:1,3271,27.00,2014-08-08
Giedo Primo - Empty Circles EP," <p>Hvor Giedo Primos debutalbum Infinity Machines of the Second Moon primært arbejdede med stemning og atmosfære, der går EP’en Empty Circles i den modsatte retning, og indfanger den løsslupne energi og uregerlige iderigdom der præger de fleste Giedo Primo-koncerter. Det er til tider tungt og kantet, til tider cirkusagtigt fjollet, og ofte lidt af begge dele, men hele tiden drevet af en krøllet og aldeles uhæmmet melodiforståelse, som skaber en forfriskende farverig kontrast til tidens smagfuldt afdæmpede electronica og minimal-techno. Empty Circles viser med andre ord Giedo Primos unikke blip blop skrot fra sin mest ligefremme og medrivende side, hvor futuristiske analog-synths, skramlede trommemaskiner og syntetiske Commodore 64-lyde går op i en helhed, der er lige så skæv og udflippet som den er overraskende dansevenlig. Trackliste: A1: Empty Circles A2: Zerstörer B1: Skrot Brothers B2: Dæmonskinke B3: An Idle Celebration <a href=""http://giedoblog.blogspot.com/"">http://giedoblog.blogspot.com/</a> <a href=""http://www.bandbase.dk/giedoprimo"">http://www.bandbase.dk/giedoprimo</a></p>
 ",HMRPLZT004,"45,00 kr.",1,Hamarplazt,Format:select:1,"12"" EP:1",3273,26.00,2014-08-08
Giedo Primo - Infinity Machines of the Second Moon," <p>Debutalbummet Infinity Machines of the Second Moon viser odenseanske Giedo Primo fra en mere indadvendt og stemningsmættet side, end den man er vant til fra hans ofte meget vilde og hårdtslående koncerter. Albummet har dog stadig en overvejende rå og skurrende lyd, modsat den digitalt rene produktion i det meste af tidens electronica, hvilket skyldes, at samtlige syv numre er optaget fuldstændig live hjemme i soveværelset. Stilen er svær at beskrive, men indeholder bl.a. elementer af 8bit-computerspilsmusik, hjemsøgt electro og skævvreden analog-techno. Det hele samler sig til et unikt udtryk som er Giedo Primos helt eget – han kalder det som regel for blip blop skrot –, og uanset om det er en gotisk svimmel electro-vals som “Den Fortabte Tid”, abrupte og udsyrede maskinstrukturer som på ”Betäubt und Betörend”, eller den mystisk vuggende ambient på afslutningsnummeret “Yen-Tinh Sam-Set”, så lyder Infinity Machines of the Second Moon ikke som noget andet. Trackliste: A1: Sad Little Monster A2: Den Fortabte Tid A3: Betäubt und Betörend A4: Infinity Machines of the Second Moon B1: Tiefpunkt B2: The Spell is Broken? B3: Yen-Tinh Sam-Set <a href=""http://giedoblog.blogspot.com/"">http://giedoblog.blogspot.com/</a> <a href=""http://www.bandbase.dk/giedoprimo"">http://www.bandbase.dk/giedoprimo</a></p>
 ",HMRPLZT001,"65,00 kr.",1,Hamarplazt,Format:select:1,"12"" LP:1",3272,5.00,2014-08-08
Girls Love Rallie - Son Of Rock'n'Roll," <p>Rallies stærke sangskrivning er kernen i dette lille mesterværk af en plade. Hvor debuten, “Les Chansons Terribles”, var decideret ”lo-fi” går det nye album hele vejen med bevidste store armbevægelser efter den voldsomme ”larger than life pop music feeling”. Rune Hedeman (tidligere frontmand i bandet 1234) har produceret albummet.</p>
<p>Teksterne, rytmerne og de melodiske ”hooks” klæber sig til hjernen som velcro. Kærligheden til tidligere tiders pop og rockmusik er åbenlys på dette album. Lige fra albumtitlen til dets artwork.</p>
<p>Rallie har tidligere været aktiv i bandet My Friends George, der blev udgivet af Morningside Records. Fans af bands som Pavement, Tom Petty and the Heartbreakers, Sebahdoh, Eric’s Trip, Guided By Voices og The Replacements, altså gendigen, velskrevet, catchy ROCK!, går ikke galt i byen her. Rock’n’Roll er død siger nogen, men det er åbenbart gået Girls Love Rallies næse forbi.</p>
<p>Pladen er blevet til i samarbejde med Freja Loeb, Rune Hedemand (1234, Det Sorte Ur)og Rasmus Hedeman (Hell is in Hello)</p>
<p>Girls Love Rallie, but the boys surely do to!!</p>
<p>Pressen skrev:</p>
<p>” Pigerne har al mulig grund til at elske Rallie”</p>
<p>“den gode Rallie giver her både piger, men så sandelig også al muligt andet godtfolk grund til at elske ham. Med Son Of Rock 'N' Roll har den gæve sangsmed nemlig oppet sig gevaldigt på sangskriverfronten og begået ti knuselskelige poprocksange af den alternative slags.”</p>
<p>“Der er plads til både stemningsfuld diskret orgelunderlægning, strygere, blæsere, bongo, banjo og skøn- og uskønsang på det eklektiske album, der primært er drevet af stærk sangskrivning, melodiøsitet og opfindsomhed. Man fristes til at påstå, at der er noget for alle på Son Of Rock 'N Roll, der burde sikre Rallie og hans kumpaner en god portion opmærksomhed fra enhver med musikhjertet på rette sted.”<br />
Gaffa *****</p>
<p>""En lille perle af et pop album med både sukker, æg og salt for ørerne. (...) Den sorg i teksterne bliver løftet op af de iørefaldende melodier. (...) Albummet indeholder bittersød rock og for det meste pop og nok gode melodier og kroge til at gøre erfarne pop komponister misundelig. For eksempel, den fremragende “Remember Uncle August”, hvis falset kor er noget af det bedste popmusik jeg har hørt i lang tid. Søn af Rock'n'Roll er et fint album. Det er så simpelt er det.""<br />
Geiger</p>
 ",SOPA0011,"50,00 kr.",1,Sound Of Perpetual Astonishment (SOPA),Format:select:1,CD:1,3274,24.00,2014-08-08
Glöggerne feat. Martin Klapper - With Dr. Chadbourne," <p>Som opfølger til det kritikerroste debut mini-album 'With Sound' fra 2007, kommer her endnu et eventyr ud i moderne musik med Glöggerne & Martin Klapper, og denne gang gør legendariske Eugene Chadbourne gruppen følge på vokal, guitar og banjo. Et brutal mix af avantgarde country og sci-fi-støj...</p>
<p>Glöggerne & Martin Klapper er en dansk/tjekkisk trio, som udøver sonisk magi. Glöggerne befinder sig i et parallelt miniatureunivers, på kant med virkeligheden, hvor plasticlegetøj, amplificerede objekter og små elektriske anordninger er omdrejningspunktet i et elektro-akustisk virkelighedsspil om liv eller død. I 2003 opnåede Glöggerne forbindelse til kunstneren og legetøjssamleren fra Tjekkiet, Martin Klapper, som hurtigt blev fanget i Glöggernes net. </p>
<p>Pladen udgives som limited edition 10"" transparent vinyl mini-album i 500 nummererede eksamplarer inklusiv plakat samt gratis mp3-download.</p>
 ",TONOM091,"70,00 kr.",1,Tonometer Music,Format:select:1,"10"" EP:1",3585,,2014-08-08
Glöggerne feat. Martin Klapper - With Sound!," <p>Glöggerne & Martin Klapper er en dansk/tjekkisk trio, som udøver sonisk magi. Glöggerne befinder sig i et parallelt miniatureunivers, på kant med virkeligheden, hvor 40 kilo børnelegetøj, amplificerede objekter og små elektriske anordninger er omdrejningspunktet i et elektro-akustisk virkelighedsspil om liv eller død. I 2003 opnåede Glöggerne forbindelse til kunstneren og legetøjssamleren fra Tjekkiet, Martin Klapper, som hurtigt blev fanget i Glöggernes net. Sammen har de nu skabt debut pladen ‘With Sound!’, der udkommer som et 10” mini-album og er mastereret analogt af Goodiepal. Pladen udgives i 300 nummererede eksemplarer med håndlavede covers af Martin Klapper.</p>
<p>De tre musikere har tidligere samarbejdet med folk som Eugene Chadbourne, Derek Bailey, Pat Thomas og Evan Parker og optrådt i bl.a Canada, Frankrig, USA, Tyskland og Japan.</p>
<p><span style=""letter-spacing: -0.2px;""> </span></p>
 ",TONOM072,"70,00 kr.",1,Tonometer Music,Format:select:1,"10"" EP:1",3584,,2014-08-08
Glow Kit - Glow Kit," <p>Den aarhusianske trio Glow Kit har længe henrykt med deres koncerter, EP’er og singler i punk- og garagemiljøet. Nu er de endelig klar med deres første LP, der ganske enkelt har fået titlen Glow Kit.</p>
<p>Bandet gør sig i hårdtslående garagerock og punk med et fokus på den gode melodi, der også gør musikken beslægtet med powerpop. Det hele startede i Aarhus i 2008, da sanger og guitarist Kasper Brinck og trommeslager Kristoffer Nielsen skulle lave et soundtrack til en zombiefilm.</p>
<p>Barndomsvennerne fungerede så godt sammen, at de fortsatte det musikalske samarbejde, der senere blev til en trio med tilgangen af bassist Jeppe Aagaard.</p>
<p>Det legendariske tyske punk-label P.Trash (Jay Reatard, Thee Oh Sees,Blank Dogs) har udgivet Glow Kit i Tyskland, medens FDH (Statues, Terminal Girls) har udgivet i Nordamerika. Begge udelukkende på vinyl. I Storbritannien har Alcopop (Johnny Foreigner, Gunning For Tamar) udgivet pladen som limited ’glow-in-the-dark’ CD og digitalt.</p>
<p>Albummet har fået en glimrende modtagelse både herhjemme, med 5 stjerner i GAFFA og 4 i Undertoner, samt i udlandet, hvor den hurtigt er blevet en blog-favorit.</p>
<p>Pladen er mixet af Jens Benz (Iceage, Chimes & Bells, Thulebasen) og mastereret af amerikanske Dave Rahn (Jay Reatard, Lost Sounds).</p>
 ",NA86,"60,00 kr.",1,Kanel Records,Format:select:1,"12"" LP:1",3276,26.00,2014-08-08
Glow Kit - Glow Kit," <p>Den aarhusianske trio Glow Kit har længe henrykt med deres koncerter, EP’er og singler i punk- og garagemiljøet. Nu er de endelig klar med deres første LP, der ganske enkelt har fået titlen Glow Kit.</p>
<p>Bandet gør sig i hårdtslående garagerock og punk med et fokus på den gode melodi, der også gør musikken beslægtet med powerpop. Det hele startede i Aarhus i 2008, da sanger og guitarist Kasper Brinck og trommeslager Kristoffer Nielsen skulle lave et soundtrack til en zombiefilm.</p>
<p>Barndomsvennerne fungerede så godt sammen, at de fortsatte det musikalske samarbejde, der senere blev til en trio med tilgangen af bassist Jeppe Aagaard.</p>
<p>Det legendariske tyske punk-label P.Trash (Jay Reatard, Thee Oh Sees,Blank Dogs) har udgivet Glow Kit i Tyskland, medens FDH (Statues, Terminal Girls) har udgivet i Nordamerika. Begge udelukkende på vinyl. I Storbritannien har Alcopop (Johnny Foreigner, Gunning For Tamar) udgivet pladen som limited ’glow-in-the-dark’ CD og digitalt.</p>
<p>Albummet har fået en glimrende modtagelse både herhjemme, med 5 stjerner i GAFFA og 4 i Undertoner, samt i udlandet, hvor den hurtigt er blevet en blog-favorit.</p>
<p>Pladen er mixet af Jens Benz (Iceage, Chimes & Bells, Thulebasen) og mastereret af amerikanske Dave Rahn (Jay Reatard, Lost Sounds).</p>
 ",NA87,"50,00 kr.",1,Kanel Records,Format:select:1,CD:1,3275,,2014-08-08
Glow Kit - 7 Inch,,PTRASH61,"20,00 kr.",1,Kanel Records,Format:select:1,"7"":1",3586,5.00,2014-08-08
Good Luck Casper - On A Monday,,DOTLP001,"80,00 kr.",1,Dotted Spot,Format:select:1,"12"" LP:1",3587,3.00,2014-08-08
Goodiepal - Narc Beacon,,NA44,"90,00 kr.",1,Syg Nok,Format:select:1,"2 x 12"" LP:1",3588,46.00,2014-08-08
Gorilla angreb - Gorilla angreb," <p>""Der var engang et glimrende lille punkband ved navn Gorilla Angreb. Det var bare de færreste uden for det helt snævre miljø, der bemærkede det, og de færreste lagde derfor også mærke til, at gruppen definitivt gik i opløsning sent sidste år. Men inden da nåede den at samle værket på dette selvbetitlede album, der er et overflødighedshorn af punk-attitude med slagkraft såvel som facetter."" -Geiger</p>
 ",HS07-CD,"60,00 kr.",1,Hjernespind,Format:select:1,CD:1,3277,3.00,2014-08-08
